,closestGlovoCity,total_observations,mean_age,mean_female_share,share_España,share_Marruecos,share_Ecuador,share_Colombia,share_Rumanía,share_Argentina,share_Francia,share_Perú,share_Alemania,share_Reino_Unido,share_Venezuela,share_Bolivia,share_Cuba,share_República_Dominicana,share_Brasil,share_Uruguay,share_China,share_Italia,share_Bulgaria,share_Chile,glovoCityCoords,autonomousCommunity,index_antiimmigration,index_xenophobia,index_all
0,A Coruña,32880.0,43.93111313868613,0.5280717761557178,0.9710766423357664,0.0008515815085158151,0.0006386861313868613,0.0023418491484184915,0.0005170316301703163,0.0023114355231143554,0.0005778588807785888,0.001307785888077859,0.00048661800486618007,0.0007603406326034064,0.002068126520681265,0.0006386861313868613,0.0016423357664233577,0.00145985401459854,0.0025547445255474453,0.0033454987834549877,0.0003953771289537713,0.0012773722627737226,0.0,0.0003953771289537713,"[43.3709703, -8.3959425]",Galicia,-0.10392058853315227,-0.14006992962071801,-0.1002726488235493
1,Ourense,13489.0,44.74075172362666,0.5359922900140855,0.9660464081844465,0.0028912447179183036,7.413447994662318e-05,0.0061531618355697235,0.00163095855882571,0.002149899918452072,0.0005189413596263622,0.00037067239973311586,0.00037067239973311586,0.0005930758395729854,0.002149899918452072,0.00044480687967973906,0.0011120171991993476,0.0022240343983986953,0.0033360515975980427,0.0008896137593594781,0.00022240343983986953,0.0005930758395729854,0.0005189413596263622,0.00014826895989324636,"[42.1968459, -7.6114105]",Galicia,-0.10392058853315227,-0.14006992962071801,-0.1002726488235493
2,Pontevedra,8871.0,42.0483598241461,0.5284635328598805,0.9696764739037312,0.0022545372562281594,0.00033818058843422386,0.004170893924022094,0.0007890880396798557,0.0018036298049825274,0.0013527223537368955,0.0010145417653026716,0.0,0.00022545372562281593,0.003156352158719423,0.00022545372562281593,0.00045090745124563186,0.0006763611768684477,0.003156352158719423,0.0012399954909254876,0.0013527223537368955,0.00045090745124563186,0.00011272686281140796,0.0,"[42.6075172, -8.4714942]",Galicia,-0.10392058853315227,-0.14006992962071801,-0.1002726488235493
3,Santiago de Compostela,6293.0,44.316542189734626,0.5355156523120927,0.9699666295884316,0.0006356268870173208,0.0004767201652629906,0.0004767201652629906,0.0003178134435086604,0.002224694104560623,0.0011123470522803114,0.0003178134435086604,0.0007945336087716511,0.0007945336087716511,0.0036548546003495946,0.0,0.0012712537740346417,0.0025425075480692834,0.0012712537740346417,0.0004767201652629906,0.0,0.0020657873828062927,0.0,0.0011123470522803114,"[42.8804219, -8.5458608]",Galicia,-0.10392058853315227,-0.14006992962071801,-0.1002726488235493
4,Vigo,28464.0,43.42843591905565,0.5250843170320405,0.9623032602585723,0.0005621135469364812,0.0005621135469364812,0.002529510961214165,0.001862001124227094,0.0030564924114671165,0.0016863406408094434,0.0017566048341765036,0.0007026419336706015,0.0006675098369870714,0.003021360314783586,0.00035132096683530075,0.0015809443507588533,0.0010890949971894322,0.003829398538504778,0.0029862282181000563,0.0002810567734682406,0.0012998875772906127,0.0,0.0007026419336706015,"[42.2376602, -8.7247205]",Galicia,-0.10392058853315227,-0.14006992962071801,-0.1002726488235493
5,Aguadulce,10832.0,38.75793943870015,0.5123707533234859,0.9795051698670606,0.001569423929098966,0.001569423929098966,0.004523633677991137,0.002307976366322009,0.0009231905465288035,0.0,0.00036927621861152144,0.0,0.0007385524372230429,0.0008308714918759232,0.00046159527326440175,0.00018463810930576072,0.0,0.0,0.00036927621861152144,0.0,9.231905465288036e-05,0.00046159527326440175,9.231905465288036e-05,"[37.2530195, -4.9906167]",Andalucía,-0.024654733181651855,-0.13200470261021408,-0.048291047106713246
6,Algeciras,12116.0,38.67976229778805,0.5185704853086828,0.9584846483988115,0.02872235061076263,0.00041267745130406077,0.00041267745130406077,0.0006602839220864972,0.001072961373390558,0.0003301419610432486,0.0006602839220864972,0.0008253549026081215,0.001650709805216243,0.0,0.0009904258831297458,8.253549026081215e-05,8.253549026081215e-05,0.000577748431825685,8.253549026081215e-05,0.0,0.0009904258831297458,0.0,0.0003301419610432486,"[36.1311725, -5.4473991]",Andalucía,-0.024654733181651855,-0.13200470261021408,-0.048291047106713246
7,Almeria,14048.0,40.12756264236902,0.527121298405467,0.9473234624145785,0.015945330296127564,0.004840546697038725,0.0049829157175398636,0.0056947608200455585,0.004626993166287016,0.0012101366742596812,0.0005694760820045558,0.0010677676537585422,0.0006406605922551253,0.0006406605922551253,0.0007830296127562642,0.0004982915717539864,0.00042710706150341686,0.0007118451025056948,7.118451025056947e-05,0.0004982915717539864,0.0009965831435079728,0.0007118451025056948,0.00014236902050113895,"[36.8414197, -2.4628135]",Andalucía,-0.024654733181651855,-0.13200470261021408,-0.048291047106713246
8,Cordoba,28565.0,41.39404866094871,0.5218274111675127,0.9836863294241204,0.0011202520567127603,0.0019954489760196045,0.0017854017153859619,0.0014353229476632243,0.000875196919306844,0.000595133905128654,0.000595133905128654,0.00035007876772273763,0.00021004726063364256,0.0004551023980395589,0.0009802205496236653,0.000595133905128654,0.00010502363031682128,0.00024505513740591633,0.00024505513740591633,0.00024505513740591633,0.00024505513740591633,0.00017503938386136881,0.00017503938386136881,"[37.8845813, -4.7760138]",Andalucía,-0.024654733181651855,-0.13200470261021408,-0.048291047106713246
9,Granada,25771.0,41.81929300376392,0.5298591439990687,0.9593341352683249,0.00702339839354313,0.0034922975437507277,0.002483411586667184,0.002910247953125606,0.0024446082806255094,0.0014745256295836406,0.0003880330604167475,0.0012029024872919174,0.0018237553839587134,0.0005044429785417717,0.0025998215047922085,0.0006984595087501455,0.00042683636645842225,0.0006984595087501455,0.000155213224166699,0.0005820495906251212,0.0021341818322921113,0.0005820495906251212,0.0,"[37.1734995, -3.5995337]",Andalucía,-0.024654733181651855,-0.13200470261021408,-0.048291047106713246
10,Huelva,16301.0,39.34568431384577,0.5204588675541378,0.9606772590638611,0.005521133672780811,0.0020857616097171953,0.0037421017115514387,0.00858843015765904,0.0010428808048585977,0.00030672964848782285,0.0001840377890926937,0.0005521133672780811,0.0009201889454634685,0.000858843015765904,0.0009201889454634685,0.0007974970860683394,0.00012269185939512914,0.000981534875161033,0.0,0.0011042267345561622,0.0001840377890926937,0.0006748052266732103,0.0003680755781853874,"[37.2575874, -6.9484945]",Andalucía,-0.024654733181651855,-0.13200470261021408,-0.048291047106713246
11,Jaen ,27870.0,40.81273771080014,0.5255113024757804,0.9792967348403301,0.003444564047362756,0.0018299246501614639,0.0028704700394689632,0.0022246142805884463,0.0006099748833871547,0.0006817366343738787,0.0006817366343738787,3.588087549336204e-05,0.0002870470039468963,0.00025116612845353425,0.0012917115177610333,0.0001794043774668102,0.0006817366343738787,0.0001794043774668102,7.176175098672408e-05,0.0006099748833871547,0.0004305705059203445,0.00014352350197344816,0.0003588087549336204,"[37.9557275, -3.492055612037218]",Andalucía,-0.024654733181651855,-0.13200470261021408,-0.048291047106713246
12,Jerez de la Frontera,17933.0,38.838565772598,0.5169241063960297,0.9839959850554844,0.0013383148385657725,0.0006691574192828863,0.0006691574192828863,0.0002788155913678693,0.0008922098923771817,0.00044610494618859087,0.0002788155913678693,0.0007249205375564602,0.0008364467741036078,0.0006691574192828863,0.002788155913678693,0.0005576311827357386,5.576311827357386e-05,0.0005018680644621647,0.00011152623654714772,0.00016728935482072157,0.00011152623654714772,0.0,5.576311827357386e-05,"[36.6816936, -6.1377402]",Andalucía,-0.024654733181651855,-0.13200470261021408,-0.048291047106713246
13,Malaga,51145.0,39.82954345488317,0.5224948675334833,0.9514517548147424,0.0054355264444227195,0.000742985629093753,0.0017597028057483625,0.002111643366898035,0.004340600254179294,0.002052986606706423,0.0003519405611496725,0.001427314497995894,0.004888063349301007,0.0008994036562713852,0.0011926874572294457,0.0007625378824909571,0.0002737315475608564,0.0011340306970378335,0.0009580604164629974,0.001349105484407078,0.0030501515299638285,0.0009385081630657933,0.0006061198553133248,"[36.7213028, -4.4216366]",Andalucía,-0.024654733181651855,-0.13200470261021408,-0.048291047106713246
14,Marbella,12213.0,39.607303692786374,0.5178907721280602,0.8806190125276345,0.013182674199623353,0.0004912797838368951,0.0036027184148038974,0.003766478342749529,0.007778596577417506,0.004012118234667977,0.00024563989191844754,0.005977237370015557,0.0268566281830836,0.0017194792434291329,0.0015557193154835012,0.0008187996397281585,0.00040939981986407926,0.0012281994595922379,0.0009825595676737902,0.002783918775075739,0.006386637189879637,0.0014738393515106854,0.0005731597478097109,"[36.508976, -4.88562]",Andalucía,-0.024654733181651855,-0.13200470261021408,-0.048291047106713246
15,Roquetas de mar,12987.0,36.15507815507816,0.513975513975514,0.885962885962886,0.045584045584045586,0.001771001771001771,0.002156002156002156,0.020713020713020714,0.004697004697004697,0.001848001848001848,0.002541002541002541,0.002233002233002233,0.002926002926002926,7.7000077000077e-05,0.000154000154000154,0.000847000847000847,0.000462000462000462,0.000231000231000231,0.000154000154000154,0.001078001078001078,0.001463001463001463,0.00231000231000231,0.000924000924000924,"[36.7630203, -2.6115886]",Andalucía,-0.024654733181651855,-0.13200470261021408,-0.048291047106713246
16,Rota,13392.0,42.20497311827957,0.5209080047789725,0.9866338112305855,0.0013440860215053765,0.0003733572281959379,0.001418757467144564,7.467144563918757e-05,0.0007467144563918758,0.0002986857825567503,0.00014934289127837514,0.0006720430107526882,0.0005973715651135006,0.00022401433691756272,0.0006720430107526882,0.0002986857825567503,0.00022401433691756272,0.0003733572281959379,7.467144563918757e-05,0.0002986857825567503,0.0007467144563918758,0.0,0.0,"[36.6228636, -6.3599595]",Andalucía,-0.024654733181651855,-0.13200470261021408,-0.048291047106713246
17,San Fernando,16822.0,38.29978599453097,0.5140292474141006,0.9851385090952325,0.00231839258114374,0.00023778385447628106,0.0005350136725716324,5.9445963619070264e-05,0.00041612174533349185,0.0003566757817144216,0.0002972298180953513,0.0014861490904767567,0.002080608726667459,0.00023778385447628106,0.0011294733087623351,0.0007133515634288432,0.0002972298180953513,0.00041612174533349185,0.0,0.00041612174533349185,0.0009511354179051242,0.00023778385447628106,0.0001783378908572108,"[36.4643934, -6.198203]",Andalucía,-0.024654733181651855,-0.13200470261021408,-0.048291047106713246
18,Sevilla,81625.0,39.85221439509954,0.5188483920367535,0.967791730474732,0.005672281776416539,0.0018376722817764165,0.0022419601837672283,0.0025727411944869833,0.0012863705972434916,0.0008820826952526799,0.0010658499234303216,0.0007718223583460949,0.000673813169984686,0.0005635528330781011,0.0016171516079632466,0.0007350689127105666,0.0005880551301684533,0.0006983154670750383,0.00020826952526799386,0.0008820826952526799,0.0009065849923430322,0.000894333843797856,0.00028177641653905056,"[37.3886303, -5.9953403]",Andalucía,-0.024654733181651855,-0.13200470261021408,-0.048291047106713246
