,category
GLOVOMARKET_PT,9470
FREEPARTY,9313
COPA_AMERICA,8646
PET,8585
MCD_PAN ,8274
IdéesCadeaux,8264
PARCELS-GEO,7973
29OGRATIS,7645
STORES_DISABLED_RO,7541
ALCOHOLLIM,7492
TACOSWEEK_MA,7384
REDMED,7366
Apéro,7274
ALCOHOL_SPECIAL,7160
GLOVO_MALL_RS,7085
MISCUSI,7057
SHAWARMAWEEK,7035
PATIOGOURMET_PE,6997
ROADHOUSE,6925
MESO-I-RIBA,6755
ALI-KEBABA_HR,6656
NOODLE-PACK,6637
FLORES-Y-AMOR-MAD-BCN,6278
EASTER_RO,6262
YELLOW-WEEKEND,6252
XXXXXX%RESTAURANTS%%MCDONALDSIT%,6140
PAPA_JOHN'S,6137
EASTER,6129
GLOVOWEEKEND,6028
HONESTGREENS,5971
JUBANY-A-CASA,5859
ENVIOGRATIS_PE,5818
PIZZA-HUT_CI,5716
EUROGLOVO-UA,5715
ZUCCHINI,5701
CADEAU,5682
BUDGET_MEALS_CI,5675
SPONTINI,5645
1MAI_RO,5624
REGALO-KZ,5620
SNACKS_LATAM_GOT,5536
GLOVOEXPRESS_RO,5523
SNACKS_ME,5514
FOODTRUCKS,5492
GOT,5437
SANTJORDI,5409
FIESTA,5327
BREAKFAST ,5168
REGALOS-BCN,5135
XXXXXX%SUPERMARKET%%SUPERMARKETS,5133
DESSERTS_RO,5130
BIG-SQUARE,5112
IKEA_RO,5091
PADARIAS,5061
XXXXXX%CONVENIENCE-STORE%%DRINKS,5024
AMERICAN_RO,5014
MULTIGLOVO,5009
CALIF,4988
MOTHERSWEEKES,4978
BIRRAMORETTI_RO,4962
DM,4861
SuperGlovo24h,4786
MEGA-DEALS,4729
BK-HN,4723
BREAKFAST-&-SWEETS,4553
LOSDESTACADOS_PE,4531
REGALOS_LATAM,4525
R$50OFF,4501
XXXXXX%PHARMACY%%PHARMACY%,4492
ALCOHOLYEXPRESS_LATAM,4453
GLOVOMANIA-IT,4356
HEALTHY-POKE,4318
BLACK-FRIDAY-EC,4256
PAPAJOHNS_PE,4242
POKE-HOUSE,4224
Bebidass,4215
OFERTAS,4125
SUBWAY_RO,4121
ASIANWK_MA,4110
Envío_Gratis,4103
HOGAR_PE,4058
FARMACIA_BIENESTAR,4037
BOGOF,4013
TACOBELL_LATAM_GOT,3972
POPEYES_PE,3939
GEO-FREE,3906
DRINKS_HR,3896
SANVALENTIN,3830
DIPNDIP_CI,3678
JUGUETES-EL-CORTE-INGLÉS,3643
GLOVO-LUNCH,3602
GOIKOGRILL,3568
FASTFOOD-LATAM2,3558
XXXXXX%RESTAURANTS%%STARBUCKS_RO,3487
I-GLOVO-YOU,3486
CHAMPIONSHIPS-UA,3475
ELECTRONICS-GE,3440
ALICORP_PE,3260
DRINKS_MD,3222
LAPIADINERIA,3213
VALENTINES-GROCERIES,3210
TELEPIZZAPT,3186
GALITO'S,3108
LITTLE-CAESAR´S,3097
PESCARIA,3094
SUBWAY_BR,3087
BAKERY,3051
POPEYES-PE,3034
NOCHE-DE-BURGER,2996
RESTAURANTES-SAN-VALENTIN-PE,2986
MARKET_RO,2970
XXXXXX%SUPERMARKET%%GROCERIES_UA,2960
XXXXXX%SUPERMARKET%SOLD%GROCERIE,2957
GLOVOWEEN_LATAM,2954
ALCOHOLSTG,2943
PAPA-JOHNS-SJO,2933
XXXXXX%RESTAURANTS%%KFC_UA%,2864
EUROPRODUCT-GE,2840
PRESTOPIZZA_RO,2660
TIENDASXMASES,2634
GROCERIESXMAS,2632
RAMAZAN,2629
CON_LOS_TUYOS,2594
DR-MAX,2573
MARKETS_RO,2559
NIS_GAZPROM,2543
JAVAHOUSE,2516
BK_KE,2496
SANVALENTINO,2480
MFLOWERS_RO,2476
PERSONALCARE_MA,2467
SANVALENTIN_PE,2459
PARATI-BCN,2421
BEMBOS_PE,2391
EMERGENCY,2332
CLASICO,2303
LIBROS-Y-TECNOLOGÍA-EC,2296
BOBS_BR,2290
XXXXXX%RESTAURANTS%%BK%CI,2285
SUSHI_DAY,2272
PROMO_UA,2266
GLOVO-MARKET,2250
GE-GLOVO-EXPRESS,2213
DERNIEREMINUTE,2206
LOGIC_RO,2190
COVID-TEST,2186
GLOVOBOWL,2167
DON-PIZZA-KRG,2149
XXXXXX%RESTAURANTS%%MCDONALD'S_H,2106
I-LOVE-POKE,2106
MEAMA,2074
RESTAURANT-NIGERIA,2046
LE-BOTTEGHE,2032
TAKSIM_RO,2022
XXXXXX%SMOKING%%GLO_RO%,2020
MOTHER_PE,2000
KONZUM_BA,1994
ALTACOCINA-PT,1991
MUNDIAL,1925
PIZZA-DAY,1916
DRINKS_TOBACO_RS,1859
NOVITA,1853
SHAWARMA-DAY,1799
BOMAKI,1773
SUPERGLOVO_MA,1768
XXXXXX%SNACKS%%SNACKS%,1760
HEALTH&BEAUTY_BG,1731
BGWEEK-BR,1725
MOTHERSDAY-PL,1706
PARA-TI-PE,1702
GLOVOLOCURA_EC,1693
RAMADAN_MA,1688
GLOBABL-BEER-GEORGIA,1654
POLLO,1650
PANDAEXPRESS,1623
06222020%SNACKS%SNACKS-&-SWEETS%,1622
POLLO-CAMPERO,1597
MSWEETS_RO,1590
DOMINO'S-PIZZA,1578
STARTUPER-GE,1554
BOMAKIERROR,1543
SUPERMARKET_MD,1504
PIZZA-HUT-GTM,1502
XXXXXX%SWEETS%%GELATI-&-DOLCI%,1499
BELLEZZA,1499
GELADOS,1498
TODOA990_PE,1486
VSWEETS_RO,1458
CHURROS,1457
MAXI-RS,1412
CHICKEN_DAY,1405
MADRE,1398
TEHNOMANIJA,1397
BATAK-GRILL,1393
REGALO-PL,1384
START_UP_GEO,1355
MC-ZUG,1353
SAN-VALENTIN,1344
GIFTS_RO,1328
BOUTIQUES,1327
STVALENTIN,1326
PASQUA,1305
NAVIDADYREGALOS_PE,1304
GOT_LATAM,1282
SNACKS-KG,1266
BIEDRONKA-NOW,1252
SOLIDARIDAD,1251
DRISTOR_RO,1247
FESTAMAMMA,1226
